rank,word,count,freq_per_million
268,road,698,348.919225
269,ii,693,346.419804
270,although,692,345.91992
271,players,692,345.91992
272,play,691,345.420035
273,st,690,344.920151
274,announced,689,344.420267
275,son,689,344.420267
276,research,687,343.420498
277,large,687,343.420498
278,top,686,342.920614
279,last,682,340.921077
280,still,680,339.921308
281,army,679,339.421424
282,million,677,338.421655
283,western,677,338.421655
284,central,677,338.421655
285,version,674,336.922003
286,show,673,336.422118
287,council,673,336.422118
288,london,669,334.422581
289,military,664,331.92316
290,live,663,331.423276
291,small,663,331.423276
292,often,660,329.923623
293,what,660,329.923623
294,population,656,327.924086
295,director,655,327.424201
296,species,654,326.924317
297,include,651,325.424664
298,own,649,324.424896
299,political,648,323.925011
300,air,645,322.425359
301,set,643,321.42559
302,french,642,320.925706
303,according,639,319.426053
304,record,639,319.426053
305,great,638,318.926169
306,white,637,318.426284
307,led,631,315.426979
308,us,630,314.927094
309,power,629,314.42721
310,t,628,313.927326
311,press,627,313.427442
312,production,627,313.427442
313,television,626,312.927557
314,point,624,311.927789
315,times,623,311.427904
316,james,623,311.427904
317,village,623,311.427904
318,park,621,310.428136
319,title,621,310.428136
320,field,617,308.428599
321,side,615,307.42883
322,among,614,306.928946
323,works,613,306.429062
324,department,613,306.429062
325,six,610,304.929409
326,km,606,302.929872
327,p,606,302.929872
328,down,605,302.429987
329,professional,605,302.429987
330,association,603,301.430219
331,country,603,301.430219
332,moved,601,300.43045
333,website,600,299.930566
334,union,600,299.930566
335,different,599,299.430682
336,black,599,299.430682
337,role,598,298.930798
338,very,597,298.430913
339,further,596,297.931029
340,j,594,296.93126
341,v,590,294.931723
342,man,585,292.432302
343,even,585,292.432302
344,h,584,291.932418
345,support,579,289.432996
346,services,577,288.433228
347,late,577,288.433228
348,joined,576,287.933343
349,science,576,287.933343
350,european,576,287.933343
351,island,575,287.433459
352,russian,575,287.433459
353,children,572,285.933806
354,form,569,284.434153
355,region,565,282.434616
356,german,562,280.934964
357,short,561,280.435079
358,japanese,561,280.435079
359,various,560,279.935195
360,track,560,279.935195
361,near,556,277.935658
362,father,556,277.935658
363,media,555,277.435774
364,make,555,277.435774
365,bbc,553,276.436005
366,center,553,276.436005
367,community,552,275.936121
368,civil,547,273.436699
369,street,544,271.937047
370,take,544,271.937047
371,displaystyle,544,271.937047
372,again,543,271.437162
373,way,543,271.437162
374,office,539,269.437625
375,worked,537,268.437857
376,awards,536,267.937972
377,having,536,267.937972
378,do,534,266.938204
379,created,533,266.43832
